participant_id,session_pseudo_id,helpfulness_rating,ease_rating,would_return_rating,has_comments,submitted_at
"P001","S0001","3","4","4",true,"2026-06-12T01:28:00Z"
"P001","S0003","3","4","4",false,"2026-06-19T02:28:00Z"
"P001","S0005","4","5","4",false,"2026-06-25T23:28:00Z"
"P001","S0007","4","4","4",false,"2026-07-03T02:28:00Z"
"P001","S0008","4","5","5",true,"2026-07-05T03:28:00Z"
"P001","S0009","4","5","4",false,"2026-07-10T01:28:00Z"
"P001","S0011","5","5","5",false,"2026-07-17T00:28:00Z"
"P001","S0013","5","5","5",false,"2026-07-24T02:28:00Z"
"P001","S0015","5","5","5",false,"2026-07-30T23:28:00Z"
"P001","S0016","5","5","5",true,"2026-08-02T02:28:00Z"
