participant_id,session_pseudo_id,n_embedded_turns,mean_adjacent_similarity,mean_user_adjacent_similarity,first_last_similarity
"P001","S0001","12","0.5196","0.4860","0.2301"
"P001","S0002","10","0.5171","0.4145","0.4471"
"P001","S0003","10","0.5721","0.5004","0.2547"
"P001","S0004","12","0.5629","0.5595","0.2193"
"P001","S0005","10","0.5647","0.5764","0.4466"
"P001","S0006","12","0.5838","0.6347","0.3312"
"P001","S0007","12","0.5626","0.5648","0.1777"
"P001","S0008","12","0.5844","0.5469","0.4009"
"P001","S0009","10","0.5889","0.6244","0.2396"
"P001","S0010","10","0.5634","0.5038","0.2038"
"P001","S0011","10","0.6512","0.5990","0.3587"
"P001","S0012","10","0.5022","0.4051","0.2280"
"P001","S0013","10","0.5790","0.4846","0.2240"
"P001","S0014","10","0.5436","0.4689","0.2505"
"P001","S0015","10","0.5767","0.5136","0.2385"
"P001","S0016","10","0.6173","0.6079","0.3741"
