participant_id,survey_role,finished,recorded_at
"P001","baseline",true,"2026-06-08T15:40:00Z"
"P001","weekly",true,"2026-06-16T02:10:00Z"
"P001","weekly",true,"2026-06-23T03:05:00Z"
"P001","weekly",true,"2026-06-30T01:45:00Z"
"P001","weekly",true,"2026-07-07T02:30:00Z"
"P001","weekly",true,"2026-07-14T02:15:00Z"
"P001","weekly",true,"2026-07-21T00:50:00Z"
"P001","weekly",true,"2026-07-28T03:20:00Z"
"P001","weekly",true,"2026-08-04T01:30:00Z"
"P001","exit",true,"2026-08-04T22:00:00Z"
"P001","week12",true,"2026-08-31T21:20:00Z"
